entry_index,positive_affect_llm,negative_affect_llm,model,status,error
1037,0.9,0.1,gpt-4.1-mini,success,
1055,0.7,0.3,gpt-4.1-mini,success,
1072,0.4,0.2,gpt-4.1-mini,success,
1089,0.3,0.0,gpt-4.1-mini,success,
1101,0.3,0.1,gpt-4.1-mini,success,
1114,0.6,0.2,gpt-4.1-mini,success,
1130,0.2,0.1,gpt-4.1-mini,success,
1158,0.3,0.6,gpt-4.1-mini,success,
1172,0.0,0.1,gpt-4.1-mini,success,
1190,0.5,0.5,gpt-4.1-mini,success,
1205,0.2,0.3,gpt-4.1-mini,success,
1222,0.3,0.0,gpt-4.1-mini,success,
1240,0.6,0.2,gpt-4.1-mini,success,
1254,0.8,0.0,gpt-4.1-mini,success,
1276,0.1,0.0,gpt-4.1-mini,success,
1291,0.0,0.0,gpt-4.1-mini,success,
1311,0.0,0.8,gpt-4.1-mini,success,
1325,0.6,0.3,gpt-4.1-mini,success,
1343,0.0,0.0,gpt-4.1-mini,success,
1366,0.2,0.3,gpt-4.1-mini,success,
1382,0.2,0.6,gpt-4.1-mini,success,
1399,0.3,0.4,gpt-4.1-mini,success,
1410,0.2,0.7,gpt-4.1-mini,success,
1424,0.1,0.2,gpt-4.1-mini,success,
1441,0.2,0.3,gpt-4.1-mini,success,
1462,0.2,0.8,gpt-4.1-mini,success,
1482,0.2,0.6,gpt-4.1-mini,success,
1498,0.0,0.0,gpt-4.1-mini,success,
1516,0.1,0.1,gpt-4.1-mini,success,
1532,0.1,0.8,gpt-4.1-mini,success,
1552,0.0,0.0,gpt-4.1-mini,success,
1572,0.3,0.7,gpt-4.1-mini,success,
1586,0.6,0.2,gpt-4.1-mini,success,
1601,0.4,0.6,gpt-4.1-mini,success,
1621,0.3,0.0,gpt-4.1-mini,success,
1648,0.1,0.0,gpt-4.1-mini,success,
1664,0.2,0.6,gpt-4.1-mini,success,
1667,0.1,0.0,gpt-4.1-mini,success,
1671,0.1,0.0,gpt-4.1-mini,success,
1713,0.0,0.1,gpt-4.1-mini,success,
1732,0.4,0.6,gpt-4.1-mini,success,
1736,0.1,0.0,gpt-4.1-mini,success,
1768,0.3,0.1,gpt-4.1-mini,success,
1774,0.5,0.5,gpt-4.1-mini,success,
1781,0.4,0.6,gpt-4.1-mini,success,
1790,0.7,0.3,gpt-4.1-mini,success,
1799,0.3,0.0,gpt-4.1-mini,success,
1816,0.0,0.0,gpt-4.1-mini,success,
1838,0.6,0.1,gpt-4.1-mini,success,
1846,0.4,0.1,gpt-4.1-mini,success,
1862,0.3,0.1,gpt-4.1-mini,success,
1881,0.6,0.0,gpt-4.1-mini,success,
1902,0.6,0.3,gpt-4.1-mini,success,
1914,0.9,0.1,gpt-4.1-mini,success,
1922,0.7,0.1,gpt-4.1-mini,success,
1931,0.7,0.2,gpt-4.1-mini,success,
1938,0.7,0.0,gpt-4.1-mini,success,
1945,0.0,0.0,gpt-4.1-mini,success,
1959,0.8,0.2,gpt-4.1-mini,success,
1976,0.8,0.2,gpt-4.1-mini,success,
1982,0.7,0.2,gpt-4.1-mini,success,
2010,0.0,0.2,gpt-4.1-mini,success,
2028,0.2,0.1,gpt-4.1-mini,success,
2054,0.7,0.0,gpt-4.1-mini,success,
2081,0.2,0.6,gpt-4.1-mini,success,
2101,0.1,0.2,gpt-4.1-mini,success,
2122,0.3,0.2,gpt-4.1-mini,success,
2145,0.2,0.1,gpt-4.1-mini,success,
2162,0.9,0.0,gpt-4.1-mini,success,
2180,0.8,0.1,gpt-4.1-mini,success,
2194,0.7,0.0,gpt-4.1-mini,success,
2207,0.2,0.0,gpt-4.1-mini,success,
2227,0.3,0.4,gpt-4.1-mini,success,
2236,0.6,0.2,gpt-4.1-mini,success,
2244,0.3,0.4,gpt-4.1-mini,success,
2253,0.6,0.1,gpt-4.1-mini,success,
2262,0.6,0.1,gpt-4.1-mini,success,
2272,0.1,0.7,gpt-4.1-mini,success,
2290,0.3,0.7,gpt-4.1-mini,success,
2305,0.3,0.4,gpt-4.1-mini,success,
2323,0.0,0.0,gpt-4.1-mini,success,
2345,0.8,0.0,gpt-4.1-mini,success,
2352,0.7,0.1,gpt-4.1-mini,success,
2361,0.1,0.0,gpt-4.1-mini,success,
2373,0.8,0.1,gpt-4.1-mini,success,
2380,0.7,0.2,gpt-4.1-mini,success,
2387,0.3,0.4,gpt-4.1-mini,success,
2397,0.8,0.1,gpt-4.1-mini,success,
2403,0.4,0.1,gpt-4.1-mini,success,
2412,0.1,0.2,gpt-4.1-mini,success,
2422,0.6,0.3,gpt-4.1-mini,success,
2431,0.6,0.3,gpt-4.1-mini,success,
2452,0.1,0.8,gpt-4.1-mini,success,
2475,0.2,0.6,gpt-4.1-mini,success,
2498,0.8,0.1,gpt-4.1-mini,success,
2515,0.0,0.0,gpt-4.1-mini,success,
2540,0.2,0.4,gpt-4.1-mini,success,
2559,0.2,0.0,gpt-4.1-mini,success,
2574,0.1,0.6,gpt-4.1-mini,success,
2585,0.3,0.7,gpt-4.1-mini,success,
2602,0.3,0.7,gpt-4.1-mini,success,
2616,0.3,0.2,gpt-4.1-mini,success,
2631,0.3,0.4,gpt-4.1-mini,success,
2642,0.8,0.1,gpt-4.1-mini,success,
2649,0.1,0.3,gpt-4.1-mini,success,
2658,0.2,0.6,gpt-4.1-mini,success,
2666,0.1,0.9,gpt-4.1-mini,success,
2674,0.2,0.8,gpt-4.1-mini,success,
2681,0.7,0.3,gpt-4.1-mini,success,
2688,0.1,0.7,gpt-4.1-mini,success,
2707,0.0,0.0,gpt-4.1-mini,success,
2724,0.0,0.0,gpt-4.1-mini,success,
2745,0.4,0.3,gpt-4.1-mini,success,
2761,0.2,0.0,gpt-4.1-mini,success,
2782,0.8,0.0,gpt-4.1-mini,success,
2786,0.1,0.9,gpt-4.1-mini,success,
2794,0.1,0.0,gpt-4.1-mini,success,
2809,0.3,0.4,gpt-4.1-mini,success,
2818,0.7,0.1,gpt-4.1-mini,success,
2823,0.3,0.7,gpt-4.1-mini,success,
2830,0.0,0.0,gpt-4.1-mini,success,
2851,0.3,0.0,gpt-4.1-mini,success,
2857,0.9,0.0,gpt-4.1-mini,success,
2865,0.3,0.0,gpt-4.1-mini,success,
2868,0.1,0.3,gpt-4.1-mini,success,
2873,0.7,0.0,gpt-4.1-mini,success,
2878,0.0,0.0,gpt-4.1-mini,success,
2894,0.0,0.3,gpt-4.1-mini,success,
2898,0.3,0.0,gpt-4.1-mini,success,
2928,0.1,0.9,gpt-4.1-mini,success,
2947,0.4,0.4,gpt-4.1-mini,success,
2954,0.2,0.8,gpt-4.1-mini,success,
2957,0.2,0.7,gpt-4.1-mini,success,
2967,0.4,0.3,gpt-4.1-mini,success,
2974,0.7,0.1,gpt-4.1-mini,success,
2983,0.3,0.7,gpt-4.1-mini,success,
2993,0.0,0.0,gpt-4.1-mini,success,
3000,0.8,0.1,gpt-4.1-mini,success,
3005,0.3,0.4,gpt-4.1-mini,success,
3013,0.8,0.1,gpt-4.1-mini,success,
3023,0.1,0.2,gpt-4.1-mini,success,
3044,0.0,0.1,gpt-4.1-mini,success,
3057,0.3,0.2,gpt-4.1-mini,success,
3073,0.6,0.3,gpt-4.1-mini,success,
3088,0.8,0.0,gpt-4.1-mini,success,
3109,0.3,0.4,gpt-4.1-mini,success,
3136,0.2,0.1,gpt-4.1-mini,success,
3149,0.0,0.0,gpt-4.1-mini,success,
3164,0.7,0.2,gpt-4.1-mini,success,
3174,0.4,0.1,gpt-4.1-mini,success,
3180,0.7,0.3,gpt-4.1-mini,success,
3189,0.2,0.6,gpt-4.1-mini,success,
3204,0.3,0.4,gpt-4.1-mini,success,
3227,0.2,0.6,gpt-4.1-mini,success,
3230,0.85,0.05,gpt-4.1-mini,success,
3234,0.0,0.0,gpt-4.1-mini,success,
3250,0.6,0.4,gpt-4.1-mini,success,
3275,0.2,0.1,gpt-4.1-mini,success,
3289,0.1,0.0,gpt-4.1-mini,success,
3303,0.0,0.0,gpt-4.1-mini,success,
3322,0.3,0.7,gpt-4.1-mini,success,
3329,0.4,0.6,gpt-4.1-mini,success,
3341,0.3,0.7,gpt-4.1-mini,success,
3353,0.0,0.0,gpt-4.1-mini,success,
3373,0.6,0.2,gpt-4.1-mini,success,
3384,0.2,0.8,gpt-4.1-mini,success,
3391,0.6,0.1,gpt-4.1-mini,success,
3396,0.85,0.0,gpt-4.1-mini,success,
3401,0.6,0.3,gpt-4.1-mini,success,
3410,0.6,0.4,gpt-4.1-mini,success,
3414,0.1,0.9,gpt-4.1-mini,success,
3418,0.3,0.5,gpt-4.1-mini,success,
3424,0.3,0.1,gpt-4.1-mini,success,
3436,0.1,0.0,gpt-4.1-mini,success,
3446,0.7,0.1,gpt-4.1-mini,success,
3471,0.2,0.7,gpt-4.1-mini,success,
3478,0.5,0.4,gpt-4.1-mini,success,
3500,0.2,0.8,gpt-4.1-mini,success,
3506,0.9,0.0,gpt-4.1-mini,success,
3510,0.8,0.1,gpt-4.1-mini,success,
3515,0.9,0.0,gpt-4.1-mini,success,
3518,0.8,0.0,gpt-4.1-mini,success,
3520,0.0,0.0,gpt-4.1-mini,success,
3545,0.7,0.1,gpt-4.1-mini,success,
3553,0.6,0.1,gpt-4.1-mini,success,
3572,0.2,0.3,gpt-4.1-mini,success,
3589,0.0,0.0,gpt-4.1-mini,success,
3604,0.8,0.0,gpt-4.1-mini,success,
3617,0.8,0.1,gpt-4.1-mini,success,
3624,0.2,0.3,gpt-4.1-mini,success,
3634,0.8,0.1,gpt-4.1-mini,success,
3643,0.6,0.2,gpt-4.1-mini,success,
3651,0.0,0.8,gpt-4.1-mini,success,
3662,0.1,0.9,gpt-4.1-mini,success,
3675,0.0,0.0,gpt-4.1-mini,success,
3696,0.1,0.8,gpt-4.1-mini,success,
3707,0.6,0.3,gpt-4.1-mini,success,
3727,0.2,0.6,gpt-4.1-mini,success,
3744,0.7,0.3,gpt-4.1-mini,success,
3753,0.0,0.0,gpt-4.1-mini,success,
3766,0.8,0.1,gpt-4.1-mini,success,
3777,0.2,0.0,gpt-4.1-mini,success,
3795,0.2,0.6,gpt-4.1-mini,success,
3809,0.4,0.1,gpt-4.1-mini,success,
3822,0.1,0.9,gpt-4.1-mini,success,
3832,0.3,0.1,gpt-4.1-mini,success,
3841,0.6,0.1,gpt-4.1-mini,success,
3853,0.8,0.1,gpt-4.1-mini,success,
3859,0.0,0.0,gpt-4.1-mini,success,
3876,0.2,0.1,gpt-4.1-mini,success,
3894,0.8,0.1,gpt-4.1-mini,success,
3921,0.3,0.0,gpt-4.1-mini,success,
3946,0.3,0.5,gpt-4.1-mini,success,
3971,0.3,0.7,gpt-4.1-mini,success,
4006,0.3,0.2,gpt-4.1-mini,success,
4021,0.7,0.0,gpt-4.1-mini,success,
4032,0.7,0.1,gpt-4.1-mini,success,
4052,0.3,0.6,gpt-4.1-mini,success,
4084,0.6,0.2,gpt-4.1-mini,success,
4105,0.7,0.0,gpt-4.1-mini,success,
4124,0.1,0.9,gpt-4.1-mini,success,
4138,0.3,0.7,gpt-4.1-mini,success,
4163,0.5,0.4,gpt-4.1-mini,success,
4185,0.6,0.2,gpt-4.1-mini,success,
4220,0.2,0.8,gpt-4.1-mini,success,
4247,0.4,0.3,gpt-4.1-mini,success,
4280,0.2,0.8,gpt-4.1-mini,success,
4310,0.0,0.0,gpt-4.1-mini,success,
4327,0.1,0.2,gpt-4.1-mini,success,
4348,0.0,0.0,gpt-4.1-mini,success,
4381,0.4,0.1,gpt-4.1-mini,success,
4403,0.2,0.0,gpt-4.1-mini,success,
4420,0.6,0.2,gpt-4.1-mini,success,
4442,0.4,0.5,gpt-4.1-mini,success,
4493,0.3,0.7,gpt-4.1-mini,success,
4529,0.2,0.7,gpt-4.1-mini,success,
4567,0.1,0.3,gpt-4.1-mini,success,
4592,0.1,0.3,gpt-4.1-mini,success,
4619,0.1,0.2,gpt-4.1-mini,success,
4638,0.2,0.3,gpt-4.1-mini,success,
4665,0.3,0.4,gpt-4.1-mini,success,
4718,0.4,0.6,gpt-4.1-mini,success,
4752,0.3,0.7,gpt-4.1-mini,success,
4780,0.7,0.0,gpt-4.1-mini,success,
4795,0.2,0.1,gpt-4.1-mini,success,
4833,0.8,0.1,gpt-4.1-mini,success,
4870,0.2,0.6,gpt-4.1-mini,success,
4894,0.6,0.4,gpt-4.1-mini,success,
4924,0.5,0.3,gpt-4.1-mini,success,
4951,0.3,0.5,gpt-4.1-mini,success,
4983,0.9,0.1,gpt-4.1-mini,success,
4996,0.3,0.1,gpt-4.1-mini,success,
5000,0.6,0.3,gpt-4.1-mini,success,
5012,0.6,0.3,gpt-4.1-mini,success,
5036,0.3,0.7,gpt-4.1-mini,success,
5067,0.8,0.2,gpt-4.1-mini,success,
5097,0.4,0.2,gpt-4.1-mini,success,
5116,0.1,0.4,gpt-4.1-mini,success,
5142,0.2,0.3,gpt-4.1-mini,success,
5165,0.6,0.4,gpt-4.1-mini,success,
5193,0.3,0.7,gpt-4.1-mini,success,
5233,0.6,0.3,gpt-4.1-mini,success,
5274,0.1,0.0,gpt-4.1-mini,success,
5306,0.1,0.7,gpt-4.1-mini,success,
5335,0.1,0.0,gpt-4.1-mini,success,
5356,0.1,0.0,gpt-4.1-mini,success,
5386,0.1,0.7,gpt-4.1-mini,success,
5404,0.1,0.9,gpt-4.1-mini,success,
5437,0.3,0.7,gpt-4.1-mini,success,
5449,0.8,0.2,gpt-4.1-mini,success,
5462,0.6,0.2,gpt-4.1-mini,success,
5479,0.3,0.4,gpt-4.1-mini,success,
5490,0.7,0.1,gpt-4.1-mini,success,
5499,0.1,0.4,gpt-4.1-mini,success,
5508,0.6,0.4,gpt-4.1-mini,success,
5516,0.7,0.3,gpt-4.1-mini,success,
5524,0.1,0.9,gpt-4.1-mini,success,
5538,0.2,0.8,gpt-4.1-mini,success,
5553,0.1,0.7,gpt-4.1-mini,success,
5570,0.1,0.2,gpt-4.1-mini,success,
5588,0.1,0.9,gpt-4.1-mini,success,
5609,0.3,0.6,gpt-4.1-mini,success,
5645,0.1,0.4,gpt-4.1-mini,success,
5675,0.3,0.5,gpt-4.1-mini,success,
5683,0.4,0.5,gpt-4.1-mini,success,
5689,0.3,0.2,gpt-4.1-mini,success,
5706,0.3,0.1,gpt-4.1-mini,success,
5726,0.6,0.3,gpt-4.1-mini,success,
5741,0.1,0.2,gpt-4.1-mini,success,
5745,0.5,0.4,gpt-4.1-mini,success,
5762,0.6,0.4,gpt-4.1-mini,success,
5782,0.3,0.4,gpt-4.1-mini,success,
5809,0.7,0.2,gpt-4.1-mini,success,
5851,0.7,0.3,gpt-4.1-mini,success,
5881,0.4,0.6,gpt-4.1-mini,success,
5908,0.4,0.3,gpt-4.1-mini,success,
5926,0.1,0.6,gpt-4.1-mini,success,
5954,0.6,0.3,gpt-4.1-mini,success,
5963,0.2,0.8,gpt-4.1-mini,success,
5983,0.2,0.1,gpt-4.1-mini,success,
6012,0.1,0.0,gpt-4.1-mini,success,
6015,0.3,0.1,gpt-4.1-mini,success,
6023,0.3,0.2,gpt-4.1-mini,success,
6057,0.0,0.0,gpt-4.1-mini,success,
6075,0.6,0.1,gpt-4.1-mini,success,
6089,0.1,0.4,gpt-4.1-mini,success,
6110,0.1,0.7,gpt-4.1-mini,success,
6126,0.3,0.0,gpt-4.1-mini,success,
6146,0.6,0.1,gpt-4.1-mini,success,
6170,0.0,0.0,gpt-4.1-mini,success,
6193,0.7,0.0,gpt-4.1-mini,success,
6228,0.3,0.0,gpt-4.1-mini,success,
6253,0.1,0.0,gpt-4.1-mini,success,
6274,0.7,0.1,gpt-4.1-mini,success,
6284,0.3,0.0,gpt-4.1-mini,success,
6311,0.3,0.2,gpt-4.1-mini,success,
6341,0.6,0.4,gpt-4.1-mini,success,
6368,0.7,0.2,gpt-4.1-mini,success,
6391,0.8,0.1,gpt-4.1-mini,success,
6404,0.7,0.0,gpt-4.1-mini,success,
6414,0.6,0.4,gpt-4.1-mini,success,
6420,0.3,0.6,gpt-4.1-mini,success,
6427,0.7,0.2,gpt-4.1-mini,success,
6441,0.7,0.3,gpt-4.1-mini,success,
6454,0.9,0.1,gpt-4.1-mini,success,
6467,0.8,0.2,gpt-4.1-mini,success,
6484,0.75,0.25,gpt-4.1-mini,success,
6506,0.7,0.2,gpt-4.1-mini,success,
6524,0.6,0.2,gpt-4.1-mini,success,
6530,0.2,0.3,gpt-4.1-mini,success,
